Statistical profiling result from isolate-0x62390c0-28165-v8.log, (22971 ticks, 161 unaccounted, 0 excluded).

 [Summary]:
   ticks  total  nonlib   name
     18    0.1%    0.2%  LazyCompile: *<anonymous> /home/post/projects/osprey-profiling/app/node_modules/raml-typesystem/dist/src/typesystem.js:1511:47
     17    0.1%    0.2%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
     17    0.1%    0.2%  LazyCompile: *socketListenerWrap _http_server.js:828:37
     17    0.1%    0.2%  LazyCompile: *nextTick internal/process/task_queues.js:105:18
     16    0.1%    0.2%  LazyCompile: *resetHeadersTimeoutOnReqEnd _http_server.js:844:37
     16    0.1%    0.2%  LazyCompile: *parseQueryStringValues /home/post/projects/osprey-profiling/app/node_modules/qs/lib/parse.js:41:50
     16    0.1%    0.2%  LazyCompile: *destroy internal/streams/destroy.js:27:17
     16    0.1%    0.2%  LazyCompile: *<anonymous> /home/post/projects/osprey-profiling/app/node_modules/router/engine.js:634:18
     15    0.1%    0.2%  RegExp: ;\s*charset\s*=
     15    0.1%    0.2%  LazyCompile: *trim_prefix /home/post/projects/osprey-profiling/app/node_modules/express/lib/router/index.js:288:23
     15    0.1%    0.2%  LazyCompile: *etag /home/post/projects/osprey-profiling/app/node_modules/etag/index.js:70:15
     15    0.1%    0.2%  LazyCompile: *endReadableNT _stream_readable.js:1208:23
     15    0.1%    0.2%  LazyCompile: *encodeStr internal/querystring.js:32:19
     15    0.1%    0.2%  LazyCompile: *emit events.js:255:44
     15    0.1%    0.2%  LazyCompile: *ReadableState _stream_readable.js:83:23
     15    0.1%    0.2%  LazyCompile: *Readable.on _stream_readable.js:898:33
     15    0.1%    0.2%  LazyCompile: *<anonymous> /home/post/projects/osprey-profiling/app/node_modules/raml-sanitize/raml-sanitize.js:252:21
     14    0.1%    0.1%  LazyCompile: *sanitize /home/post/projects/osprey-profiling/app/node_modules/raml-sanitize/raml-sanitize.js:118:23
     14    0.1%    0.1%  LazyCompile: *readableAddChunk _stream_readable.js:258:26
     14    0.1%    0.1%  LazyCompile: *processPromiseRejections internal/process/promises.js:169:34
     14    0.1%    0.1%  LazyCompile: *onwrite _stream_writable.js:476:17
     14    0.1%    0.1%  LazyCompile: *app /home/post/projects/osprey-profiling/app/node_modules/express/lib/express.js:38:21
     14    0.1%    0.1%  LazyCompile: *afterWriteTick _stream_writable.js:525:24
     14    0.1%    0.1%  LazyCompile: *<anonymous> _stream_writable.js:677:17
     14    0.1%    0.1%  LazyCompile: *<anonymous> /home/post/projects/osprey-profiling/app/osprey-app.js:7:31
     14    0.1%    0.1%  LazyCompile: *<anonymous> /home/post/projects/osprey-profiling/app/node_modules/raml-sanitize/raml-sanitize.js:259:51
     13    0.1%    0.1%  LazyCompile: *query /home/post/projects/osprey-profiling/app/node_modules/express/lib/middleware/query.js:39:24
     13    0.1%    0.1%  LazyCompile: *parseQueryStringKeys /home/post/projects/osprey-profiling/app/node_modules/qs/lib/parse.js:135:46
     13    0.1%    0.1%  LazyCompile: *ok /home/post/projects/osprey-profiling/app/node_modules/raml-typesystem/dist/src/typesystem.js:165:12
     12    0.1%    0.1%  LazyCompile: *setHeader _http_outgoing.js:533:57
     12    0.1%    0.1%  LazyCompile: *from buffer.js:285:28
     12    0.1%    0.1%  LazyCompile: *WritableState _stream_writable.js:67:23
     12    0.1%    0.1%  LazyCompile: *<anonymous> internal/util/debuglog.js:57:18
     12    0.1%    0.1%  LazyCompile: *<anonymous> /home/post/projects/osprey-profiling/app/node_modules/express/lib/request.js:467:36
     11    0.0%    0.1%  LazyCompile: *json /home/post/projects/osprey-profiling/app/node_modules/express/lib/response.js:239:25
     11    0.0%    0.1%  LazyCompile: *handle /home/post/projects/osprey-profiling/app/node_modules/router/engine.js:507:18
     11    0.0%    0.1%  LazyCompile: *emitReadable_ _stream_readable.js:608:23
     10    0.0%    0.1%  RegExp: ^\/songs(?:\/(?=$))?$
     10    0.0%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
     10    0.0%    0.1%  LazyCompile: *resolve path.js:973:10
     10    0.0%    0.1%  LazyCompile: *parserOnMessageComplete _http_common.js:135:33
     10    0.0%    0.1%  LazyCompile: *matchKnownFields _http_incoming.js:158:26
     10    0.0%    0.1%  LazyCompile: *Writable.write _stream_writable.js:295:36
      9    0.0%    0.1%  LazyCompile: *push internal/fixed_queue.js:99:7
      9    0.0%    0.1%  LazyCompile: *Socket.resume net.js:603:35
      9    0.0%    0.1%  LazyCompile: *Socket._read net.js:570:34
      8    0.0%    0.1%  LazyCompile: *onCorkedFinish _stream_writable.js:736:24
      8    0.0%    0.1%  LazyCompile: *compact /home/post/projects/osprey-profiling/app/node_modules/qs/lib/utils.js:180:31
      8    0.0%    0.1%  LazyCompile: *OutgoingMessage _http_outgoing.js:82:25
      7    0.0%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      7    0.0%    0.1%  LazyCompile: *socketOnClose _http_server.js:512:23
      7    0.0%    0.1%  LazyCompile: *set /home/post/projects/osprey-profiling/app/node_modules/express/lib/application.js:352:23
      7    0.0%    0.1%  LazyCompile: *normalizeParseOptions /home/post/projects/osprey-profiling/app/node_modules/qs/lib/parse.js:189:59
      7    0.0%    0.1%  LazyCompile: *handle /home/post/projects/osprey-profiling/app/node_modules/router/engine.js:149:42
      7    0.0%    0.1%  LazyCompile: *getDefaultTriggerAsyncId internal/async_hooks.js:287:34
      7    0.0%    0.1%  LazyCompile: *fromString buffer.js:419:20
      7    0.0%    0.1%  LazyCompile: *AbstractType.metaOfType /home/post/projects/osprey-profiling/app/node_modules/raml-typesystem/dist/src/typesystem.js:1952:50
      6    0.0%    0.1%  RegExp: (\[[^[\]]*])
      6    0.0%    0.1%  RegExp: (?:%5B|\[)\d*(?:%5D|])=
      6    0.0%    0.1%  LazyCompile: *push internal/fixed_queue.js:75:7
      6    0.0%    0.1%  LazyCompile: *onParserExecuteCommon _http_server.js:604:31
      6    0.0%    0.1%  LazyCompile: *middleware /home/post/projects/osprey-profiling/app/node_modules/compose-middleware/lib/index.js:40:31
      6    0.0%    0.1%  LazyCompile: *afterShutdown net.js:422:23
      6    0.0%    0.1%  LazyCompile: *_flush _http_outgoing.js:840:51
      6    0.0%    0.1%  LazyCompile: *Status.isOk /home/post/projects/osprey-profiling/app/node_modules/raml-typesystem/dist/src/typesystem.js:115:38
      5    0.0%    0.1%  LazyCompile: *updateOutgoingData _http_server.js:478:28
      5    0.0%    0.1%  LazyCompile: *trim_prefix /home/post/projects/osprey-profiling/app/node_modules/router/engine.js:294:23
      5    0.0%    0.1%  LazyCompile: *onconnection net.js:1524:22
      5    0.0%    0.1%  LazyCompile: *normalizeString path.js:52:25
      5    0.0%    0.1%  LazyCompile: *handle /home/post/projects/osprey-profiling/app/node_modules/express/lib/application.js:158:29
      5    0.0%    0.1%  LazyCompile: *debug /home/post/projects/osprey-profiling/app/node_modules/debug/src/debug.js:65:17
      5    0.0%    0.1%  LazyCompile: *clearBuffer _stream_writable.js:547:21
      5    0.0%    0.1%  LazyCompile: *callFinal _stream_writable.js:676:19
